Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:10.1113,69.9999891414471,0.286002075164778,0.88123890777442,0.0365676793493499,0.111548227972873
00:00:10.1175,69.9999883068214,0.264307229879395,0.814392045450665,0.0347730246922172,0.119423587568313
00:00:10.1238,69.9999875343089,0.244816001912527,0.754335040252026,0.0330939542640206,0.12691743100994
00:00:10.1300,69.99998681593,0.228478396745233,0.703995080089191,0.0316161489856738,0.134064228991391
00:00:10.1363,69.9999861414622,0.21580303764448,0.66493935162375,0.0303993183890188,0.140914492292243
00:00:10.1439,69.9999853546162,0.205478548084058,0.633127199040602,0.029309776622766,0.149025915779097
00:00:10.1516,69.9999845959679,0.20071486667373,0.618449189643072,0.028674643753004,0.156903559142461
00:00:10.1593,69.9999838458629,0.201036558615252,0.619440398344799,0.0284658587049984,0.164665359967177
00:00:10.1670,69.9999830866462,0.20576142326243,0.63399880637161,0.0286225821542065,0.172418131450085
00:00:10.1747,69.9999823034802,0.214053599644931,0.659548931732447,0.0290621190118454,0.180249527258759
00:00:10.1824,69.9999814848587,0.224963636027947,0.693165292851449,0.0296914830136622,0.188223595964105
00:00:10.1900,69.999980622932,0.237475115139584,0.731716071735764,0.030417832020134,0.19637938523369
00:00:10.1977,69.999979713623,0.250569296559585,0.772062292208035,0.0311569097842739,0.204732086232159
00:00:10.2054,69.9999787564812,0.26330433927673,0.811301923031624,0.0318391006560266,0.213276128829421
00:00:10.2131,69.9999777542477,0.274894892017079,0.847015114226598,0.0324130090173,0.221989580908895
00:00:10.2233,69.9999763573392,0.287617174527624,0.886215429050286,0.0329566421595263,0.233813847809545
00:00:10.2369,69.9999744353318,0.29903756368082,0.921404308825781,0.0332758103085235,0.249624686680254
00:00:10.2504,69.9999724564659,0.304854083640341,0.939326364136318,0.0332046300677686,0.265497651774019
00:00:10.2640,69.9999704510037,0.306729376751837,0.945104582652378,0.0328714842667716,0.28128139428209
00:00:10.2775,69.9999684373473,0.306877092961634,0.945559734788145,0.0324308407970737,0.296887925574997
00:00:10.2910,69.9999664204633,0.307331532040555,0.946959971473869,0.0320201240126579,0.312296969922427
00:00:10.3046,69.9999643943123,0.309482469669531,0.953587515050454,0.0317310009954662,0.327542064381766
00:00:10.3181,69.9999623463413,0.313927476403445,0.967283619573937,0.0315996816463139,0.342687266997546
00:00:10.3369,69.9999594400879,0.323435445630858,0.996579891956633,0.0316380509707196,0.36367568217663
00:00:10.3557,69.999956437477,0.33538344965752,1.03339448013827,0.0318272248327561,0.384732231677871
00:00:10.3744,69.999953325512,0.34786645424531,1.07185753033102,0.0320383815824288,0.405912160314658
00:00:10.3932,69.9999501055695,0.359381497630251,1.10733806746915,0.032178413416529,0.427202694346203
00:00:10.4120,69.9999467883788,0.369297186273167,1.13789062097586,0.0322143100854941,0.448550479162383
00:00:10.4405,69.9999416022417,0.382194984568355,1.17763175396778,0.0321384856689035,0.480894318706455
00:00:10.4690,69.9999362405278,0.394333855514965,1.21503445638559,0.0320218489569387,0.513154018301628
00:00:10.4974,69.999930702556,0.407358961190772,1.25516785580298,0.0319617469844658,0.545335501658182
00:00:10.4991,69.9999303718197,0.40816466918543,1.25765043072869,0.0319606813005535,0.547223133499933
00:00:10.5000,69.999930205165,0.408609668958677,1.25902157915021,0.0319624202312313,0.548172847891199
00:00:10.5001,69.9999301846109,0.408666988118222,1.25919819288977,0.0319627765153499,0.548289911999017
00:00:10.5005,69.999930098449,0.408965957879886,1.26011938860805,0.0319676374803632,0.548780463980948
00:00:10.5009,69.9999300122078,0.409402909044689,1.26146573717407,0.0319803998651438,0.549271158292278
00:00:10.5017,69.9999298656754,0.410670309083998,1.26537089234974,0.0320321323731994,0.550103979687766
00:00:10.5024,69.9999297185406,0.412731846361789,1.27172296936489,0.03212906189279,0.55093876665769
00:00:10.5031,69.9999295705057,0.415695613251593,1.28085502600705,0.032276974272536,0.551776746774698
00:00:10.5039,69.9999294212431,0.41960486404223,1.29290033882039,0.0324777544908881,0.552619261243817
00:00:10.5048,69.9999292284343,0.425972001666008,1.31251897369902,0.032809847375929,0.553703152408693
00:00:10.5062,69.9999289372855,0.438157262677034,1.35006460246409,0.0334494468607465,0.555328385508857
00:00:10.5083,69.9999284743975,0.462925863425179,1.42638243306334,0.0347407320145007,0.557877830694575
00:00:10.5114,69.999927739557,0.512342187374399,1.5786456421841,0.0372444634529967,0.561823086301203
00:00:10.5151,69.9999267367945,0.592214573975989,1.82475107752762,0.0410761644764697,0.566991982911349
00:00:10.5189,69.9999255697649,0.694103818311712,2.13869558304906,0.0456253490022116,0.572710080150562
00:00:10.5226,69.9999241996748,0.817138396922708,2.51779379296862,0.0507036283473102,0.579059209475455
00:00:10.5263,69.9999225897214,0.959732947003833,2.95716083639488,0.0561336578663484,0.586098055300456
00:00:10.5301,69.9999207067976,1.11945155288733,3.44929109109607,0.0617511107241285,0.593862588245754
00:00:10.5338,69.99991852303,1.29299113360157,3.98400699661898,0.0674056627033389,0.602367857023046
00:00:10.5375,69.9999160172075,1.47628379488834,4.54877442457648,0.0729620930287029,0.611610034637722
00:00:10.5423,69.9999123456903,1.71559758429255,5.28615602456228,0.0796861920589065,0.624385079742654
00:00:10.5477,69.9999074564527,1.98726335265749,6.12322164089905,0.0867129753269453,0.640373690223421
00:00:10.5532,69.9999018760861,2.24172252764514,6.9072697594968,0.0927910951782285,0.657618824210809
00:00:10.5586,69.9998956669839,2.46572775438741,7.59748219143777,0.0977643338850713,0.675924739644426
00:00:10.5640,69.9998889220781,2.64905500425612,8.16235631731572,0.101549440498858,0.695072202704488
00:00:10.5711,69.9998795511212,2.81725177693048,8.68060997917357,0.104690112434248,0.72084007591208
00:00:10.5782,69.9998697441633,2.90346671313527,8.94625850115169,0.105931490778989,0.747158518025095
00:00:10.5853,69.9998597671502,2.91405486103215,8.97888324959244,0.105509878029294,0.773587588970624
00:00:10.5924,69.9998498545363,2.86274833942782,8.8207960693961,0.10374818138774,0.799752326409505
00:00:10.5995,69.9998401878603,2.76736880647384,8.52690963619484,0.101017536427013,0.825363715833803
00:00:10.6066,69.9998308867863,2.64661401272995,8.15483607749578,0.0977000215954947,0.850226603633353
00:00:10.6137,69.9998220100904,2.51756979890963,7.75722085633861,0.0941568033059243,0.874238415819125
00:00:10.6207,69.9998135635046,2.39419299237116,7.37706821956528,0.0907035741620377,0.897380896320058
00:00:10.6278,69.9998055112383,2.28670795420742,7.0458818166204,0.0875939015274513,0.919706773605366
00:00:10.6349,69.9997977884915,2.20168520449514,6.78390696067845,0.0850103468634554,0.941323255716434
00:00:10.6435,69.99978872752,2.13342675232582,6.57358683680305,0.0827355934534957,0.966838052438831
00:00:10.6544,69.9997775545091,2.10160864169538,6.47554795223501,0.0812499076963836,0.998312132893699
00:00:10.6633,69.9997684323648,2.11692467327696,6.52274035792196,0.081098463034754,1.02386252758298
00:00:10.6722,69.9997591816881,2.16290640932264,6.66442098156811,0.0817235928754131,1.0494796233526
00:00:10.6811,69.9997496873744,2.23123994549469,6.87497274461832,0.0828904116364568,1.07537169626006
00:00:10.6900,69.9997398729626,2.31272622511824,7.12605120454505,0.0843483070287685,1.10166964225375
00:00:10.6989,69.9997297011899,2.39828145859603,7.38966708100903,0.0858645660218294,1.12842909290252
00:00:10.7078,69.9997191713353,2.47987524433538,7.64107682610238,0.0872482804918824,1.15563976781163
00:00:10.7186,69.9997059767108,2.56448971643667,7.90179407107249,0.0885526005596163,1.18912896341704
00:00:10.7316,69.9996895411959,2.63893054377897,8.13116400232586,0.0894587694844948,1.23008414704265
00:00:10.7478,69.9996686609945,2.68956988082652,8.28719605245753,0.0896290727199547,1.28121053675467
00:00:10.7613,69.9996511039818,2.70345716230045,8.32998634262337,0.0891510103014466,1.32360203648398
00:00:10.7747,69.9996334913083,2.70392691787178,8.33143408746612,0.0883925807184225,1.36571486422488
00:00:10.7881,69.9996158748678,2.70250906576094,8.32706566952717,0.0876127924731049,1.40747373746093
00:00:10.8016,69.9995982409826,2.70791282260363,8.34371623300999,0.0870042065064012,1.44891024839269
00:00:10.8178,69.9995767909577,2.72973254581649,8.41094832214017,0.0866276609607914,1.49877505292652
